well|latitude|longitude|altitude.ft|sea.m|fault.m|geology
1|28.63811|34.798061|257|1000|1200|Sand
2|28.603468|34.810458|1652|2000|400|Sand, Alkaline, Granite
3|28.575879|34.844785|924|5500|400|Alkaline, Conglomerate
4|28.620362|34.876969|1815|8000|1500|Alkaline
5|28.560586|34.990046|1408|19000|400|Volcanic, Granite
6|28.602789|34.992551|2640|19000|1500|Volcanic
7|28.488311|34.976893|956|17000|1000|Gypsum
8|28.572316|34.807835|1312|2000|1100|Alkaline
9|28.438361|34.786616|595|3500|1600|Gypsum
10|28.553648|34.903739|2291|11000|1100|Volcanic
11|28.651337|34.876725|3168|9500|400|Alkaline, Granite
12|28.584441|35.186706|2307|38000|1100|Granite
13|28.512148|34.957213|1089|15000|2100|Gypsum
14|28.448275|34.93563|864|16000|2000|Gypsum
15|28.625897|35.051013|1494|25000|1300|Volcanic
16|28.612935|35.218209|2284|41000|600|Alkaline, Granite, Volcanic
17|28.54015|35.065537|1167|25000|900|Conglomerate, Gypsum
18|29.248557|35.017044|1032|6500|3200|Sand
19|29.235329|34.969706|279|2000|800|Sand
20|29.291152|34.977884|403|1500|700|Sand
21|29.336922|34.981922|552|2000|800|Sand
22|29.319727|35.032035|1245|7000|1900|Sand
23|29.24509|35.185575|2831|22000|200|Sand
